technical_know_how,personal_traits,social_characteristics,motivating_factors
Well trained,"Psychologically
Deviant",Lack Social skills,No fear of punishment
Goal oriented,Loner,Rationalization,Political support
Opportunists,Control freak,Rationalization,Curiosity
Strategic planners,Control freak,Need to outsmart others,Intolerance
Strategic planners,Emotional,Mass-destruction,Political support
Smart,Impatient,Intolerance to diversity of opinion,Experimentation
Bully,Loner,Radical,Revenge
Well-organized,Coward,Anti-state,Curiosity
Well-trained,Inhuman Psyche,Need to outsmart others,Experimentation
Resourceful,Strong-willed,"Insufficient social
support",Risk tolerance
Bully,Vengeful,Anti-state,Plain boredom
Well-trained,Risk-taker,Misguided,Political beliefs
Opportunists,Coercive,Social dissatisfaction,Risk tolerance
Smart,Selfish,Unlawful,Political support
Bully,"Psychologically
Deviant",Anti-state,Disregard for law
Well-trained,Secretive,Need to outsmart others,Need to Control others
Resourceful,Insensitive,"Insufficient social
support",Emotions
Smart,Strong-willed,Anti-social,Risk tolerance
Focussed,Identity crisis,Radical,Political beliefs
Resourceful,Strong-willed,Anti-establishment,Anger
Smart,Control freak,Social dissatisfaction,Anger
Bully,Identity crisis,Anti-establishment,"Enhancing self-
worth"
Resourceful,Selfish,Inferiority complex,Monetary Gain
Bully,Passionate,Marginalised,Political support
Well-networked,Passionate,Unlawful,Risk tolerance
Well trained,Aggressive,Rationalization,Anger
Skilful,Vengeful,Anti-state,Disregard for law
Resourceful,Determined,Misguided,Monetary Gain
Skilful,Secretive,"Insufficient social
support",Political support
Sharp (intelligent),Psychiatric conditions,Anti-establishment,Manipulate others
Skilful,Conviction in Violence,Misguided,Monetary Gain
Well-organized,Insensitive,Radical,No fear of punishment
Bully,Determined,Rebellious,Emotions
Opportunists,Impatient,"Insufficient social
support","Enhancing self-
worth"
Sharp (intelligent),Immoral/ Unethical,Intolerance to diversity of opinion,No fear of punishment
Skilful,Conviction in Violence,Rebellious,Experimentation
Smart,Loner,Brain-washed,Intolerance
Resourceful,Loner,Intolerance to diversity of opinion,Disregard for law
Skilful,Coward,Inferiority complex,Anger
Well-trained,Insensitive,Rebellious,"Religious
fundamentalism"
Resourceful,Determined,Anti-establishment,Risk tolerance
Resourceful,Passionate,Brain-washed,Experimentation
Goal oriented,Risk-taker,Rationalization,Intolerance
Well-networked,Secretive,Anti-establishment,Revenge
Well-trained,Determined,Anti-establishment,Plain boredom
Creative,Emotional,Anti-state,Experimentation
Strategic planners,"Psychologically
Deviant",Anti-state,Monetary Gain
Well-trained,Chaotic state of mind,Anti-social,Need to Control others
Creative,Coward,Anti-social,Thrill-seeking
Well-organized,Risk-taker,Marginalised,Revenge
Smart,Loner,Misguided,Emotions
Focussed,Identity crisis,Low self-worth,Curiosity
Goal oriented,Vengeful,Social dissatisfaction,Plain boredom
Resourceful,Chaotic state of mind,Marginalised,Emotions
Well-trained,Aggressive,Reinforcement available,Experimentation
Well-networked,Incited,Anti-state,Thrill-seeking
Well-networked,Coercive,Broken homes/families,Need to Control others
Focussed,Gullible,Anti-establishment,Manipulate others
Bully,Insensitive,Misguided,Curiosity
Well-trained,Passionate,Anti-social,Manipulate others
Opportunists,Vengeful,Marginalised,Risk tolerance
Focussed,Identity crisis,Low self-worth,No fear of punishment
Well-organized,Control freak,Inferiority complex,Political beliefs
Skilful,Chaotic state of mind,Low self-worth,Curiosity
Well-organized,Insensitive,"Insufficient social
support",Monetary Gain
Creative,Secretive,Anti-establishment,Political beliefs
Opportunists,Aggressive,Brain-washed,Risk tolerance
Opportunists,Determined,Low self-worth,Intolerance
Skilful,Immoral/ Unethical,Radical,No fear of punishment
Creative,Passionate,Anti-establishment,Disregard for law
Goal oriented,Conviction in Violence,Mass-destruction,"Concealed
existence"
Goal oriented,Vengeful,Low self-worth,Anger
Goal oriented,"Psychologically
Deviant",Mass-destruction,Risk tolerance
Opportunists,Gullible,Rationalization,No fear of punishment
Resourceful,Coward,Brain-washed,Disregard for law
Sharp (intelligent),Loner,"Insufficient social
support",Need to Control others
Smart,Coward,Lack Social skills,Lust
Creative,Identity crisis,Intolerance to diversity of opinion,Need to Control others
Well-networked,Selfish,Anti-establishment,"Enhancing self-
worth"
Bully,Risk-taker,Rebellious,Emotions
Sharp (intelligent),Insensitive,Intolerance to diversity of opinion,Risk tolerance
Sharp (intelligent),Vengeful,Misguided,Disregard for law
Strategic planners,Risk-taker,Low self-worth,Curiosity
Bully,Identity crisis,Socially inept,No fear of punishment
Well-organized,Impatient,Anti-state,Curiosity
Well-trained,Control freak,Socially inept,Plain boredom
Resourceful,Conviction in Violence,Anti-state,Political support
Sharp (intelligent),Insensitive,Rebellious,Disregard for law
Sharp (intelligent),Insensitive,Inferiority complex,"Greed (easy, quick money)"
Well trained,Loner,Radical,Intolerance
Opportunists,Determined,Rationalization,Disregard for law
Bully,Secretive,Intolerance to diversity of opinion,Monetary Gain
Smart,Passionate,Anti-state,Need to Control others
Smart,Incited,Rebellious,"Religious
fundamentalism"
Focussed,Inhuman Psyche,"Insufficient social
support","Greed (easy, quick money)"
Bully,Impatient,Anti-establishment,No fear of punishment
Smart,Insensitive,Rebellious,Need to Control others
Goal oriented,Control freak,Mass-destruction,Political beliefs
Creative,Determined,Brain-washed,Political support
Focussed,Passionate,Misguided,Curiosity
Creative,Loner,Inferiority complex,Thrill-seeking
Creative,Immoral/ Unethical,Broken homes/families,Monetary Gain
Sharp (intelligent),Gullible,Inferiority complex,Curiosity
Strategic planners,Insensitive,Inferiority complex,Curiosity
Resourceful,Aggressive,Rationalization,Lust
Skilful,Inhuman Psyche,Intolerance to diversity of opinion,Lust
Smart,Insensitive,Socially inept,Political support
Strategic planners,Conviction in Violence,Need to outsmart others,Curiosity
Well-organized,Risk-taker,Unlawful,Risk tolerance
Smart,Emotional,Radical,Political beliefs
Well trained,Psychiatric conditions,Anti-establishment,Plain boredom
Sharp (intelligent),Inhuman Psyche,Social dissatisfaction,"Enhancing self-
worth"
Well trained,Conviction in Violence,Marginalised,Curiosity
Bully,Conviction in Violence,Marginalised,Revenge
Well trained,Selfish,Need to outsmart others,Political beliefs
Creative,Emotional,Mass-destruction,Disregard for law
Resourceful,Inhuman Psyche,Socially inept,Monetary Gain
Resourceful,Identity crisis,Inferiority complex,Monetary Gain
Opportunists,Conviction in Violence,Radical,"Concealed
existence"
Well-trained,Gullible,Mass-destruction,Disregard for law
Well-trained,Strong-willed,Reinforcement available,"Religious
fundamentalism"
Skilful,Emotional,Anti-state,"Greed (easy, quick money)"
Resourceful,Selfish,Broken homes/families,Experimentation
Well trained,Impatient,Inferiority complex,Political beliefs
Well-networked,Strong-willed,Need to outsmart others,"Religious
fundamentalism"
Focussed,Insensitive,Broken homes/families,Lust
Smart,Chaotic state of mind,Broken homes/families,Curiosity
Opportunists,Coercive,Inferiority complex,Need to Control others
Sharp (intelligent),"Psychologically
Deviant",Reinforcement available,Plain boredom
Focussed,Identity crisis,Rebellious,"Greed (easy, quick money)"
Skilful,Passionate,Anti-state,Risk tolerance
Opportunists,Immoral/ Unethical,Anti-establishment,"Greed (easy, quick money)"
Creative,Coercive,Socially inept,Disregard for law
Creative,Secretive,Anti-social,No fear of punishment
Resourceful,Emotional,Anti-establishment,Thrill-seeking
Well-organized,Impatient,Rationalization,Anger
Well-networked,Coercive,Low self-worth,Monetary Gain
Focussed,Immoral/ Unethical,Anti-establishment,"Greed (easy, quick money)"
Creative,Coercive,Misguided,Experimentation
Well-networked,Vengeful,Rationalization,Intolerance
Well-trained,"Psychologically
Deviant",Anti-state,Political beliefs
Well-organized,Immoral/ Unethical,Need to outsmart others,Plain boredom
Strategic planners,Identity crisis,Intolerance to diversity of opinion,"Religious
fundamentalism"
Opportunists,Coercive,Lack Social skills,Monetary Gain
Focussed,Strong-willed,Social dissatisfaction,"Concealed
existence"
Well trained,"Psychologically
Deviant",Broken homes/families,Political support
Bully,Conviction in Violence,Anti-state,Anger
Resourceful,Coward,Lack Social skills,Intolerance
Resourceful,Determined,Broken homes/families,Monetary Gain
Focussed,Insensitive,Rationalization,Political beliefs
Well-trained,Identity crisis,Mass-destruction,Need to Control others
Skilful,Coward,Social dissatisfaction,Risk tolerance
Strategic planners,Selfish,"Insufficient social
support",Risk tolerance
Strategic planners,Selfish,Misguided,"Concealed
existence"
Well-organized,Control freak,Brain-washed,Political beliefs
Well-organized,Incited,Need to outsmart others,Monetary Gain
Smart,Chaotic state of mind,Anti-establishment,Curiosity
Creative,Determined,Social dissatisfaction,Disregard for law
Skilful,Chaotic state of mind,"Insufficient social
support",No fear of punishment
Smart,Impatient,Anti-social,No fear of punishment
Sharp (intelligent),Psychiatric conditions,Low self-worth,Monetary Gain
Well trained,Coercive,Reinforcement available,"Enhancing self-
worth"
Well trained,Insensitive,Lack Social skills,Curiosity
Goal oriented,Impatient,Anti-social,Monetary Gain
Resourceful,Chaotic state of mind,Need to outsmart others,No fear of punishment
Bully,Incited,Need to outsmart others,Lust
Resourceful,Selfish,Low self-worth,"Enhancing self-
worth"
Opportunists,Selfish,Inferiority complex,Manipulate others
Well-organized,Vengeful,Reinforcement available,Anger
Well-trained,Immoral/ Unethical,Broken homes/families,No fear of punishment
Creative,Passionate,Anti-establishment,Monetary Gain
Well-trained,Risk-taker,Marginalised,Curiosity
Bully,Determined,Inferiority complex,Political beliefs
Strategic planners,Chaotic state of mind,Anti-establishment,"Concealed
existence"
Skilful,Vengeful,Intolerance to diversity of opinion,"Religious
fundamentalism"
Well-networked,Risk-taker,Radical,Lust
Opportunists,Incited,Rebellious,No fear of punishment
Focussed,Secretive,Unlawful,Revenge
Opportunists,Risk-taker,Lack Social skills,Risk tolerance
Well-networked,Gullible,Radical,No fear of punishment
Well-organized,Identity crisis,Radical,No fear of punishment
Opportunists,Determined,Broken homes/families,Anger
Strategic planners,Inhuman Psyche,Intolerance to diversity of opinion,No fear of punishment
Opportunists,Vengeful,Reinforcement available,Anger
Skilful,Aggressive,Low self-worth,Political beliefs
Strategic planners,Impatient,Radical,Emotions
Resourceful,Secretive,Broken homes/families,Emotions
Bully,Insensitive,Low self-worth,Revenge
Creative,Passionate,Anti-social,No fear of punishment
Bully,Control freak,Need to outsmart others,Risk tolerance
Well-trained,Vengeful,Rebellious,Thrill-seeking
Strategic planners,Immoral/ Unethical,Marginalised,Disregard for law
Well trained,Psychiatric conditions,Need to outsmart others,Plain boredom
Well-trained,Insensitive,Mass-destruction,"Enhancing self-
worth"
Well-networked,Identity crisis,Misguided,"Greed (easy, quick money)"
Well-trained,Inhuman Psyche,Reinforcement available,Plain boredom
Creative,Selfish,Rationalization,Anger
Resourceful,Insensitive,Anti-social,Anger
Strategic planners,Determined,Socially inept,Lust
Opportunists,Risk-taker,Anti-establishment,No fear of punishment
Well-networked,Chaotic state of mind,Low self-worth,Lust
Smart,Insensitive,Brain-washed,Thrill-seeking
Well-trained,Secretive,Intolerance to diversity of opinion,Lust
Skilful,Identity crisis,Social dissatisfaction,Risk tolerance
Well trained,Vengeful,Lack Social skills,Monetary Gain
Creative,Loner,Anti-state,Intolerance
Strategic planners,Vengeful,Need to outsmart others,Revenge
Smart,Identity crisis,Social dissatisfaction,Political support
Well-networked,Emotional,Intolerance to diversity of opinion,No fear of punishment
Focussed,Selfish,Lack Social skills,Experimentation
Smart,Determined,"Insufficient social
support",Experimentation
Well-organized,Incited,Rebellious,"Greed (easy, quick money)"
Sharp (intelligent),Vengeful,Socially inept,Curiosity
Goal oriented,Coward,"Insufficient social
support",Political beliefs
Sharp (intelligent),Impatient,Radical,"Enhancing self-
worth"
Opportunists,Insensitive,Reinforcement available,Plain boredom
Bully,Insensitive,Rebellious,Intolerance
Well-trained,Control freak,Anti-establishment,Need to Control others
Goal oriented,"Psychologically
Deviant",Broken homes/families,Revenge
Creative,Passionate,Unlawful,Intolerance
Focussed,Selfish,Misguided,Plain boredom
Well trained,Selfish,Mass-destruction,Lust
Sharp (intelligent),Gullible,Socially inept,"Concealed
existence"
Creative,Strong-willed,Inferiority complex,Anger
Bully,Passionate,Low self-worth,Political beliefs
Resourceful,Selfish,Mass-destruction,Risk tolerance
Sharp (intelligent),Determined,Intolerance to diversity of opinion,Intolerance
Smart,Loner,Brain-washed,Anger
Focussed,Aggressive,Intolerance to diversity of opinion,Intolerance
Focussed,Insensitive,Rationalization,Need to Control others
Strategic planners,Gullible,Broken homes/families,"Concealed
existence"
Goal oriented,Determined,Socially inept,Monetary Gain
Goal oriented,Control freak,Lack Social skills,Intolerance
Smart,"Psychologically
Deviant",Socially inept,Disregard for law
Sharp (intelligent),Vengeful,Anti-establishment,Disregard for law
Sharp (intelligent),Secretive,Socially inept,"Greed (easy, quick money)"
Creative,Vengeful,Anti-establishment,"Religious
fundamentalism"
Creative,Strong-willed,Reinforcement available,"Enhancing self-
worth"
Creative,Coercive,Intolerance to diversity of opinion,Risk tolerance
Sharp (intelligent),Gullible,Intolerance to diversity of opinion,"Enhancing self-
worth"
